
TEST CASES
case	上周文字价格	上周文字收益	上周语音价格	上周视频价格	上周语音时长	上周视频时长	pairings
1	默认2钻/条	0元	默认20钻/分钟	默认50钻/分钟	0小时	0小时	15
2	3钻/条	0元	30钻/分钟	60钻/分钟	0-3小时	0-3小时	15
3	4钻/条	0元	40钻/分钟	70钻/分钟	3-6小时	3-5小时	15
4	5钻/条	0元	50钻/分钟	80钻/分钟	6-10小时	5-8小时	15
5	4钻/条	0-50元	50钻/分钟	默认50钻/分钟	0小时	0-3小时	14
6	5钻/条	0-50元	40钻/分钟	60钻/分钟	0-3小时	0小时	14
7	默认2钻/条	0-50元	30钻/分钟	70钻/分钟	3-6小时	5-8小时	14
8	3钻/条	0-50元	默认20钻/分钟	80钻/分钟	6-10小时	3-5小时	14
9	5钻/条	50-80元	30钻/分钟	默认50钻/分钟	0小时	3-5小时	14
10	4钻/条	50-80元	默认20钻/分钟	60钻/分钟	0-3小时	5-8小时	14
11	3钻/条	50-80元	50钻/分钟	70钻/分钟	3-6小时	0小时	14
12	默认2钻/条	50-80元	40钻/分钟	80钻/分钟	6-10小时	0-3小时	14
13	3钻/条	80-150元	40钻/分钟	默认50钻/分钟	0小时	5-8小时	14
14	默认2钻/条	80-150元	50钻/分钟	60钻/分钟	0-3小时	3-5小时	14
15	5钻/条	80-150元	默认20钻/分钟	70钻/分钟	3-6小时	0-3小时	14
16	4钻/条	80-150元	30钻/分钟	80钻/分钟	6-10小时	0小时	14
17	默认2钻/条	大于150元	默认20钻/分钟	默认50钻/分钟	大于10小时	大于8小时	12
18	3钻/条	大于150元	30钻/分钟	60钻/分钟	大于10小时	大于8小时	9
19	4钻/条	大于150元	40钻/分钟	70钻/分钟	大于10小时	大于8小时	9
20	5钻/条	大于150元	50钻/分钟	80钻/分钟	大于10小时	大于8小时	9
21	~默认2钻/条	0元	~30钻/分钟	70钻/分钟	0小时	大于8小时	3
22	~3钻/条	0-50元	~默认20钻/分钟	80钻/分钟	0-3小时	大于8小时	3
23	~4钻/条	50-80元	~50钻/分钟	默认50钻/分钟	3-6小时	大于8小时	3
24	~5钻/条	80-150元	~40钻/分钟	60钻/分钟	6-10小时	大于8小时	3
25	~3钻/条	大于150元	~40钻/分钟	80钻/分钟	0小时	0小时	3
26	~默认2钻/条	大于150元	~50钻/分钟	70钻/分钟	0-3小时	0-3小时	3
27	~5钻/条	大于150元	~默认20钻/分钟	60钻/分钟	3-6小时	3-5小时	3
28	~4钻/条	大于150元	~30钻/分钟	默认50钻/分钟	6-10小时	5-8小时	3
29	~4钻/条	0元	~默认20钻/分钟	~60钻/分钟	大于10小时	0小时	2
30	~5钻/条	0-50元	~30钻/分钟	~默认50钻/分钟	大于10小时	0-3小时	2
31	~默认2钻/条	50-80元	~40钻/分钟	~80钻/分钟	大于10小时	3-5小时	2
32	~3钻/条	80-150元	~50钻/分钟	~70钻/分钟	大于10小时	5-8小时	2
33	~3钻/条	~0元	~30钻/分钟	默认50钻/分钟	0-3小时	~3-5小时	1
34	~默认2钻/条	~0元	~40钻/分钟	80钻/分钟	3-6小时	~0-3小时	1
35	~4钻/条	~0-50元	~50钻/分钟	60钻/分钟	0小时	~3-5小时	1
36	~默认2钻/条	~0-50元	~默认20钻/分钟	70钻/分钟	6-10小时	~0小时	1

PAIRING DETAILS
var1	var2	value1	value2	appearances	cases
上周文字收益	上周语音时长	0元	0小时	2	1, 21
上周文字收益	上周语音时长	0元	0-3小时	2	2, 33
上周文字收益	上周语音时长	0元	3-6小时	2	3, 34
上周文字收益	上周语音时长	0元	6-10小时	1	4
上周文字收益	上周语音时长	0元	大于10小时	1	29
上周文字收益	上周语音时长	0-50元	0小时	2	5, 35
上周文字收益	上周语音时长	0-50元	0-3小时	2	6, 22
上周文字收益	上周语音时长	0-50元	3-6小时	1	7
上周文字收益	上周语音时长	0-50元	6-10小时	2	8, 36
上周文字收益	上周语音时长	0-50元	大于10小时	1	30
上周文字收益	上周语音时长	50-80元	0小时	1	9
上周文字收益	上周语音时长	50-80元	0-3小时	1	10
上周文字收益	上周语音时长	50-80元	3-6小时	2	11, 23
上周文字收益	上周语音时长	50-80元	6-10小时	1	12
上周文字收益	上周语音时长	50-80元	大于10小时	1	31
上周文字收益	上周语音时长	80-150元	0小时	1	13
上周文字收益	上周语音时长	80-150元	0-3小时	1	14
上周文字收益	上周语音时长	80-150元	3-6小时	1	15
上周文字收益	上周语音时长	80-150元	6-10小时	2	16, 24
上周文字收益	上周语音时长	80-150元	大于10小时	1	32
上周文字收益	上周语音时长	大于150元	0小时	1	25
上周文字收益	上周语音时长	大于150元	0-3小时	1	26
上周文字收益	上周语音时长	大于150元	3-6小时	1	27
上周文字收益	上周语音时长	大于150元	6-10小时	1	28
上周文字收益	上周语音时长	大于150元	大于10小时	4	17, 18, 19, 20
上周文字收益	上周视频时长	0元	0小时	2	1, 29
上周文字收益	上周视频时长	0元	0-3小时	2	2, 34
上周文字收益	上周视频时长	0元	3-5小时	2	3, 33
上周文字收益	上周视频时长	0元	5-8小时	1	4
上周文字收益	上周视频时长	0元	大于8小时	1	21
上周文字收益	上周视频时长	0-50元	0小时	2	6, 36
上周文字收益	上周视频时长	0-50元	0-3小时	2	5, 30
上周文字收益	上周视频时长	0-50元	3-5小时	2	8, 35
上周文字收益	上周视频时长	0-50元	5-8小时	1	7
上周文字收益	上周视频时长	0-50元	大于8小时	1	22
上周文字收益	上周视频时长	50-80元	0小时	1	11
上周文字收益	上周视频时长	50-80元	0-3小时	1	12
上周文字收益	上周视频时长	50-80元	3-5小时	2	9, 31
上周文字收益	上周视频时长	50-80元	5-8小时	1	10
上周文字收益	上周视频时长	50-80元	大于8小时	1	23
上周文字收益	上周视频时长	80-150元	0小时	1	16
上周文字收益	上周视频时长	80-150元	0-3小时	1	15
上周文字收益	上周视频时长	80-150元	3-5小时	1	14
上周文字收益	上周视频时长	80-150元	5-8小时	2	13, 32
上周文字收益	上周视频时长	80-150元	大于8小时	1	24
上周文字收益	上周视频时长	大于150元	0小时	1	25
上周文字收益	上周视频时长	大于150元	0-3小时	1	26
上周文字收益	上周视频时长	大于150元	3-5小时	1	27
上周文字收益	上周视频时长	大于150元	5-8小时	1	28
上周文字收益	上周视频时长	大于150元	大于8小时	4	17, 18, 19, 20
上周文字收益	上周文字价格	0元	默认2钻/条	3	1, 21, 34
上周文字收益	上周文字价格	0元	3钻/条	2	2, 33
上周文字收益	上周文字价格	0元	4钻/条	2	3, 29
上周文字收益	上周文字价格	0元	5钻/条	1	4
上周文字收益	上周文字价格	0-50元	默认2钻/条	2	7, 36
上周文字收益	上周文字价格	0-50元	3钻/条	2	8, 22
